,time,neu,neu_clean,pos,pos_clean,neg,neg_clean,com,com_clean,close,high,low,open,volumefrom,volumeto,price_delta,delta_bool
128,2019-07-29 22:00:00,0.8563887339654219,0.7209654210819846,0.10134857780256532,0.20476854433909666,0.04225822643614054,0.07426547685443396,0.13050317902955955,0.13452744004461809,9513.09,9525.37,9486.36,9504.49,489.77,4659277.37,8.600000000000364,1
129,2019-07-29 23:00:00,0.8446050913838112,0.7053674934725856,0.1156671018276762,0.22195561357702384,0.03973302872062666,0.07267428198433422,0.17557610966057483,0.16338511749347293,9506.93,9526.51,9437.7,9513.09,1202.59,11417618.89,-6.1599999999998545,0
130,2019-07-30 00:00:00,0.8469709715639819,0.7052186018957345,0.11010248815165889,0.2142695497630336,0.04293127962085306,0.08051007109004742,0.15326178909952626,0.14798672985782027,9520.66,9528.4,9503.73,9506.93,430.38,4101223.89,13.729999999999563,1
131,2019-07-30 01:00:00,0.8465238718116419,0.7109254414650095,0.11111118378024847,0.211858731196861,0.042359712230215826,0.07721386527141931,0.15770896010464383,0.15071523871811643,9471.93,9522.62,9464.57,9520.66,595.78,5661304.88,-48.72999999999956,0
132,2019-07-30 02:00:00,0.8502177747625498,0.7208846675712348,0.10723744911804613,0.21091858887381246,0.04254681139755768,0.06819945725915876,0.14968717774762572,0.15449559023066486,9412.84,9481.79,9391.78,9471.93,1611.59,15204259.74,-59.090000000000146,0
133,2019-07-30 03:00:00,0.8458622589531691,0.712128787878788,0.11323622589531673,0.2136170798898073,0.04089325068870526,0.07425344352617079,0.16748760330578538,0.16014022038567519,9434.0,9439.29,9395.91,9412.84,792.74,7474973.56,21.159999999999854,1
134,2019-07-30 04:00:00,0.8466910394265237,0.7198681003584219,0.1134810035842294,0.2109641577060931,0.03983154121863804,0.06916630824372763,0.16465118279569896,0.15212401433691758,9425.46,9447.61,9422.18,9434.0,548.06,5177400.68,-8.540000000000873,0
135,2019-07-30 05:00:00,0.8440835755813947,0.7042514534883721,0.11619331395348846,0.22740552325581406,0.039726017441860495,0.06834593023255811,0.16911046511627922,0.17334367732558167,9448.31,9453.65,9407.9,9425.46,813.73,7679278.5,22.850000000000364,1
136,2019-07-30 06:00:00,0.8561189060642095,0.7220737217598091,0.10406004756242572,0.2089375743162904,0.03982520808561237,0.06898394768133174,0.14688079667063025,0.14822282996432834,9504.37,9523.52,9447.45,9448.31,1122.75,10658659.96,56.06000000000131,1
137,2019-07-30 07:00:00,0.854446504237288,0.719246822033899,0.10870074152542361,0.21302913135593263,0.036854343220338995,0.06772245762711865,0.16704337923728835,0.16650677966101715,9495.73,9509.18,9484.86,9504.37,474.37,4509404.24,-8.640000000001237,0
138,2019-07-30 08:00:00,0.8609564958283665,0.7343390941597147,0.11278724672228836,0.21447258641239605,0.02626281287246722,0.05118951132300358,0.1993927294398092,0.1828262216924912,9483.46,9522.47,9468.59,9495.73,526.6,5010829.77,-12.270000000000437,0
139,2019-07-30 09:00:00,0.8572338227297454,0.7289233278955947,0.10685970636215329,0.2091908646003266,0.035908102229472515,0.06188961392060907,0.16749293094072903,0.1634814573137577,9487.93,9499.35,9471.28,9483.46,362.9,3449744.05,4.470000000001164,1
140,2019-07-30 10:00:00,0.8441007234279345,0.7064652198107947,0.11827601558152455,0.22469894268224866,0.03762604340567614,0.06884529771841956,0.18999532554257115,0.1760724540901505,9499.54,9523.58,9471.22,9487.93,627.15,5961058.99,11.610000000000582,1
141,2019-07-30 11:00:00,0.8591377477042061,0.7291952634122766,0.1066365393910101,0.20902078298695062,0.03422812953117451,0.06178298695021748,0.1620594490091829,0.15607626872885463,9538.05,9603.47,9470.16,9499.54,1817.6,17330342.48,38.5099999999984,1
142,2019-07-30 12:00:00,0.8475375647668395,0.7045885146804836,0.11246200345423121,0.22862521588946494,0.04000129533678756,0.06678367875647664,0.16809883419689142,0.17510617443868756,9548.72,9606.51,9528.66,9538.05,1998.29,19125275.98,10.670000000000073,1
143,2019-07-30 13:00:00,0.8560374396135267,0.7235966183574879,0.10906481481481495,0.21268276972624783,0.03489653784219004,0.06371980676328506,0.16983438003220583,0.1605903381642511,9557.14,9567.62,9539.13,9548.72,757.76,7240437.21,8.420000000000073,1
144,2019-07-30 14:00:00,0.8536589704769127,0.7176714610143833,0.10746744890234683,0.21373580620741894,0.03887358062074188,0.0685968962906889,0.15643077214231665,0.1556628311884935,9561.92,9583.91,9546.87,9557.14,1095.64,10481245.82,4.780000000000655,1
145,2019-07-30 15:00:00,0.8542784883720924,0.7248784883720942,0.10622209302325573,0.20621511627906983,0.039501162790697694,0.06891453488372093,0.14959360465116295,0.14610244186046545,9699.85,9749.53,9561.69,9561.92,4818.62,46689706.28,137.9300000000003,1
149,2019-07-30 19:00:00,0.8616962305986693,0.7315624538063564,0.10571470805617143,0.2047324464153732,0.03258832224685884,0.06370509977827055,0.16874042867701416,0.15742535107169262,9608.34,9666.6,9524.86,9646.41,2411.29,23104047.18,-38.06999999999971,0
150,2019-07-30 20:00:00,0.8508324396782844,0.7189240393208227,0.11082663092046459,0.20795576407506727,0.038332886505808725,0.07311483467381591,0.1664263181411976,0.15097292225201087,9542.21,9626.59,9534.99,9608.34,1260.06,12075446.22,-66.13000000000102,0
151,2019-07-30 21:00:00,0.8537857862903231,0.7287283266129029,0.1084702620967742,0.19911995967741944,0.03774445564516131,0.07214566532258063,0.15913377016129046,0.13950015120967765,9588.45,9590.41,9527.58,9542.21,816.29,7809541.15,46.2400000000016,1
152,2019-07-30 22:00:00,0.8494267806267813,0.7206603988603976,0.1099230769230767,0.2078934472934471,0.040643874643874645,0.07144672364672364,0.15932672364672376,0.153349515669516,9582.39,9651.71,9576.48,9588.45,1167.09,11216415.84,-6.06000000000131,0
153,2019-07-30 23:00:00,0.8516410256410257,0.7147644603458544,0.11166428145497911,0.21876982707215245,0.036699463327370285,0.06646451997614788,0.16825158020274322,0.1621449016100181,9595.52,9615.31,9579.68,9582.39,559.82,5381200.11,13.130000000001019,1
154,2019-07-31 00:00:00,0.8551941875825627,0.7175475561426675,0.10853896961690865,0.21391017173051527,0.03626816380449143,0.0685455746367239,0.16535924702774127,0.15760885072655245,9712.01,9715.83,9581.6,9595.52,2072.58,20049091.36,116.48999999999978,1
155,2019-07-31 01:00:00,0.8476490747087049,0.7111261137765595,0.11231734064427701,0.2191473612063058,0.04002056202878685,0.06972583961617547,0.16500795065113108,0.1643685400959565,9714.15,9731.66,9672.03,9712.01,1320.52,12819527.83,2.139999999999418,1
156,2019-07-31 02:00:00,0.8487680763983629,0.7097619372442011,0.11306548431105047,0.21821077762619376,0.03817121418826742,0.07203001364256484,0.16397053206002757,0.1546071623465214,9687.22,9714.55,9676.45,9714.15,518.29,5027478.8,-26.93000000000029,0
157,2019-07-31 03:00:00,0.8473040293040286,0.7032014652014641,0.11723589743589742,0.22770402930402933,0.03545567765567766,0.06909450549450545,0.18419523809523822,0.1725223443223447,9687.31,9694.77,9654.21,9687.22,749.91,7271491.58,0.09000000000014552,1
